"","age","sex","marital_status","race","edu","wage"
"559315",37,1,0,1,12,9.95251578360348
"110131",40,1,0,1,16,10.4283639995248
"187525",53,1,0,1,8,7.09423484592476
"530703",37,2,0,1,9,9.03300635669327
"250432",32,2,0,1,15,9.79840477608298
"50943",35,1,0,1,16,9.61613875787447
"297080",31,2,0,1,18,8.98782162543081
"357527",31,2,0,1,12,6.24416690066374
"369236",49,2,0,1,12,9.19471899107323
"204814",36,2,0,2,12,9.3487971151232
"85859",51,1,0,1,12,9.61613875787447
"538419",45,2,0,1,12,9.61613875787447
"233978",49,2,0,2,10,8.05674377497531
"151556",44,1,0,1,18,7.31654817718298
"313926",30,2,0,1,18,9.38303237979429
"256455",30,1,0,1,12,9.23063307524395
"243395",30,2,0,2,13,9.39307850865535
"419214",30,1,0,1,19,7.09423484592476
"306534",30,2,0,1,12,8.76327171401294
"564348",41,2,0,2,12,9.30610499396056
"348510",36,2,0,1,12,8.47741232140439
"401942",45,1,0,2,12,6.18414889093748
"584722",45,2,0,1,16,9.54716968769421
"371902",60,1,0,1,7,9.61613875787447
"541486",30,2,0,2,13,8.98782162543081
"377155",42,2,0,1,12,10.5188083176316
"421442",60,1,0,1,7,8.29529885950246
"220977",38,1,0,2,16,9.46537011215271
"579480",40,1,0,1,18,8.35585004100747
"576142",40,2,0,1,12,8.9273141110606
"380887",32,2,0,2,9,9.12423767292277
"122498",33,2,0,2,13,9.21880445038831
"24262",33,1,0,1,19,8.10319175228579
"468354",31,1,0,1,12,8.92332474406756
"437949",30,2,0,1,13,9.14793291184757
"403508",54,1,0,2,12,7.31654817718298
"290398",44,1,0,2,8,8.70034773451408
"262654",32,1,0,1,12,9.82579624482026
"69646",34,1,0,1,16,9.90373752129133
"329809",55,2,0,1,13,9.77423271667887
"204703",60,1,0,1,8,9.97231374346598
"401575",40,2,0,1,12,9.47308917788275
"293364",30,2,0,1,12,8.70367275835886
"129851",30,1,0,1,12,9.86811940869834
"196102",53,1,0,1,5,8.42836197770962
"95413",31,2,0,1,12,9.38974100034247
"170228",34,1,0,1,12,8.85437945877111
"73401",50,2,0,1,12,9.23063307524395
"561790",46,1,0,1,12,9.61613875787447
"126141",35,2,0,1,17,7.31654817718298
"3925",37,1,0,1,17,5.84354441703136
"68046",30,2,0,1,15,9.38974100034247
"274595",30,1,0,1,17,9.29880901996379
"353783",48,1,0,1,16,8.29529885950246
"397020",37,1,0,1,12,9.47308917788275
"280137",37,1,0,2,10,8.72013403541293
"14396",42,1,0,1,15,9.37203396097417
"95842",49,2,0,1,13,8.81951754060489
"271604",31,1,0,1,6,8.70034773451408
"328297",50,2,0,1,12,8.8180382503943
"401789",44,2,0,1,12,9.10553525761006
